Name,Effect
Red Bell Pepper,An ingredient with some bitterness—but its bitter notes and overall flavor are pleasantly mild compared to its green cousin.
Red Card,"A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle."
Red Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The red variety never fails to sell well.
Red-Flag Pick,"This pick flies a red flag that lends an air of adventure. The flag itself is made of card stock, so it’ll fly proudly even with no wind."
Red Flute,A toy flute made from red glass. A maniac will buy it for a high price.
Red Nectar,A flower nectar obtained at Ula'ula Meadow. It changes the form of certain species of Pokémon.
Red Onion,"An ingredient with some sweetness to it. Its spiciness and fragrance are milder than those of other onions, making it a pleasant bite."
Red Poké Ball Pick,A sandwich pick with a simple red Poké Ball design. Often used by Trainers who picked a Fire-type Pokémon for their first partner.
Red Scarf,Raises holder's Cool aspect in a Contest.
Red Shard,A small red shard. It appears to be from some sort of implement made long ago.
Relaxed Mint,Changes the Pokémon's stats to match the Relaxed nature.
Relic Band,"A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
Relic Copper,"A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
Relic Crown,"A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
Relic Gold,"A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
Relic Silver,"A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
Relic Statue,"A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
Relic Vase,"A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
Rellor Mud,"Material obtained after defeating/catching Rellor, used in TM crafting."
Remedy,
Repeat Ball,Catches Pokémon already registered in the Pokédex with 3.5x the rate of a standard Poké Ball.
Repel,An item that prevents weak wild Pokémon from appearing for 100 steps after its use.
Reset Urge,"When used, it restores any stat changes of an ally Pokémon."
Resist Feather,Increases Defense EVs by 1.
Resist Mochi,Increases Defense EVs.
Reveal Glass,A looking glass that reveals the truth. It's a mysterious glass that returns a Pokémon to its original shape.
Revival Herb,"Revives a Pokémon to max HP, but lowers Friendship."
Revive,"Revives a fainted Pokémon, restoring half its HP."
Ribbon Sweet,Evolves Milcery into Ribbon Flavor Alcremie.
Rice,An ingredient with a touch of sweetness. It’s unclear how well this cooked rice will serve as a sandwich filling.
Rindo Berry,Weakens a supereffective Grass-type attack against the holding Pokémon.
Ring Target,Moves that would otherwise have no effect will land on the Pokémon that holds it.
Riolu Fur,"Material obtained after defeating/catching Riolu, used in TM crafting."
Rock Gem,Increases the power of a Rock-type move only once.
Rock Incense,Increases the power of Rock-type moves. Breeding Sudowoodo produces Bonsly when held.
Rock Memory,Changes Silvally and its move Multi-Attack to Rock type.
Rock Tera Shard,Changes a Pokémon's Tera Type to Rock.
Rockium Z,"Allows the use of Continental Crush, the Rock type Z-Move."
Rockruff Rock,"Material obtained after defeating/catching Rockruff, used in TM crafting."
Rocky Helmet,"If the holder of this item takes damage, the attacker will also be damaged upon contact."
Roller Skates,"Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks."
Rolycoly Coal,"Material obtained after defeating/catching Rolycoly, used in TM crafting."
Rookidee Feather,"Material obtained after defeating/catching Rookidee, used in TM crafting."
Room Service,Lowers the Pokémon's speed during Trick Room.
Root Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.
Rose Incense,Increases the power of Grass-type moves. Breeding Roselia or Roserade produces Budew when held.
Roseli Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack."
Roto Bargain,Reduces the prices of products at Poké Marts by half.
Roto Boost,Raises all stats of your battling Pokémon.
Roto Catch,Increases the chance to catch Pokémon a lot.
Roto Encounter,Increases the chance of encountering high-level wild Pokémon a lot for a certain period of time.
Roto Exp. Points,Increases the Exp. Points your Pokémon receive after battle a little.
Roto Friendship,Helps Pokémon in your party grow friendly faster.
Roto Hatch,Helps Eggs hatch faster.
Roto HP Restore,Fully restores the HP of your battling Pokémon.
Roto PP Restore,Fully restores the PP of your battling Pokémon.
Roto Prize Money,Triples the prize money you receive after battle.
Roto Stealth,Prevents you from encountering wild Pokémon for a certain period of time.
Rotom Phone,"The latest model of smartphone. A Pokémon called Rotom lives within it, and it can be used to run all sorts of handy apps."
Rotom Sparks,"Material obtained after defeating/catching Rotom, used in TM crafting."
Rowap Berry,"If held by a Pokémon and a special attack lands, the attacker also takes damage."
Rufflet Feather,"Material obtained after defeating/catching Rufflet, used in TM crafting."
Sablenite,Enables Sableye to Mega Evolve during battle.
Sableye Gem,"Material obtained after defeating/catching Sableye, used in TM crafting."
Sachet,Evolves Spritzee when traded holding the item.
Sacred Ash,Revives all fainted Pokémon and fully restores their HP.
Safari Ball,Catches Pokémon in the Safari Zone or Great Marsh.
Safety Goggles,Prevents damage from weather and powder.
Salac Berry,Raises Speed when HP is low.
Salad Mix,One of the many ingredients that can be used for cooking at your camp. The assortment of vegetables looks quite appealing and healthy.
Salamencite,Enables Salamence to Mega Evolve during battle.
Salandit Gas,"Material obtained after defeating/catching Salandit, used in TM crafting."
Salt,"A very salty seasoning, unsurprisingly. People quite like the grains of salt that can be gathered from the footprints of particularly jagged Naclstack."
Salt Cake,
Salty Herba Mystica,One of the condiments spoken of as legends. Its mellow saltiness is said to be tremendously effective when it comes to promoting health.
Sand Radish,
Sandile Claw,"Material obtained after defeating/catching Sandile, used in TM crafting."
Sandwich,"A dish made by sandwiching vegetables, meat, or other ingredients between two pieces of bread. It makes a fantastic meal when out on a picnic."
Sandygast Sand,"Material obtained after defeating/catching Sandygast, used in TM crafting."
Sassy Mint,Changes the Pokémon's stats to match the Sassy nature.
Sausages,One of the many ingredients that can be used for cooking at your camp. These sausages should be boiled before eating.
Scarlet Book,"A record of the expedition that the author, Heath, went on within the Great Crater of Paldea. The book has the name “Sada” written on it in clumsy handwriting."
Scatter Bang,
Scatterbug Powder,"Material obtained after defeating/catching Scatterbug, used in TM crafting."
Sceptilite,Enables Sceptile to Mega Evolve during battle.
Scizorite,Enables Scizor to Mega Evolve during battle.
Scope Lens,Increases critical-hit ratio.
Scroll of Darkness,A peculiar scroll that can make a certain species of Pokémon evolve. Written upon it are the true secrets of the path of darkness.
Scroll of Waters,A peculiar scroll that can make a certain species of Pokémon evolve. Written upon it are the true secrets of the path of water.
Scyther Claw,"Material obtained after defeating/catching Scyther, used in TM crafting."
Sea Incense,Increases the power of Water-type moves. Breeding Marill or Azumarill produces Azurill when held.
Seed of Mastery,
Serious Mint,Changes the Pokémon's stats to match a neutral nature.
Seviper Fang,"Material obtained after defeating/catching Seviper, used in TM crafting."
Shaderoot Carrot,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a gloomy field.
Shalour Sable,Heals all major status conditions.
Sharp Beak,Increases the power of Flying-type moves.
Sharpedonite,Enables Sharpedo to Mega Evolve during battle.
Shed Shell,"A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle."
Shell Bell,An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.
Shellder Pearl,"Material obtained after defeating/catching Shellder, used in TM crafting."
Shellos Mucus,"Material obtained after defeating/catching Shellos, used in TM crafting."
Shinx Fang,"Material obtained after defeating/catching Shinx, used in TM crafting."
Shiny Charm,A shiny charm said to increase the chance of finding a Shiny Pokémon in the wild.
Shiny Stone,Evolves certain species of Pokémon.
Shoal Salt,Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price.
Shoal Shell,A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price.
Shock Drive,Changes Techno Blast to an Electric-type move when held by Genesect.
Shroodle Ink,"Material obtained after defeating/catching Shroodle, used in TM crafting."
Shroomish Spores,"Material obtained after defeating/catching Shroomish, used in TM crafting."
Shuca Berry,Weakens a supereffective Ground-type attack against the holding Pokémon.
Shuppet Scrap,"Material obtained after defeating/catching Shuppet, used in TM crafting."
Silicobra Sand,"Material obtained after defeating/catching Silicobra, used in TM crafting."
Silk Scarf,Increases the power of Normal-type moves.
Silver Bottle,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
Silver Cup,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
Silver Leaf,
Silver Nanab Berry,"Greatly calms a Pokémon in battle, in Let's Go Pikachu/Eevee."
Silver Pick,"A silver pick that oozes class. Using it on a sandwich lends an extravagant air that’ll make you want to eat up, even if you don’t love the fillings."
Silver Pinap Berry,"Greatly increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go."
Silver Powder,Increases the power of Bug-type moves.
Silver Razz Berry,Makes a Pokémon easier to catch in Pokémon Let's Go.
Sinistea Chip,"Material obtained after defeating/catching Sinistea, used in TM crafting."
Sitrus Berry,"If held by a Pokémon, it heals the user's HP a little."
Skiddo Leaf,"Material obtained after defeating/catching Skiddo, used in TM crafting."
Skrelp Kelp,"Material obtained after defeating/catching Skrelp, used in TM crafting."
Skull Fossil,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head.
Skwovet Fur,"Material obtained after defeating/catching Skwovet, used in TM crafting."
Sky Plate,Increases power of Flying-type moves. Changes Arceus' type to Flying.
Sky Tumblestone,
Slakoth Fur,"Material obtained after defeating/catching Slakoth, used in TM crafting."
Slowbronite,Enables Slowbro to Mega Evolve during battle.
Slowpoke Claw,"Material obtained after defeating/catching Slowpoke, used in TM crafting."
Slowpoke Cup,"A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents."
Small Bouquet,
Smart Candy,Increases a Pokémon's Special Attack stat by 1.
Smart Candy L,Increases a Pokémon's Special Attack stat.
Smart Candy XL,Increases a Pokémon's Special Attack stat.
Smiling Vee Pick,"A pick designed after Eevee, sporting the Pokémon’s smiling face. It’s easy to grab by the ears, which is part of why it’s so popular."
Smoke Ball,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.
Smoke Bomb,
Smoke-Poke Tail,"One of the many ingredients that can be used for cooking at your camp. When a Slowpoke’s tail falls off, it grows back quickly."
Smoked Fillet,A very salty and bitter ingredient with that unmistakable smoky flavor. It pairs exceptionally well with veggies.
Smoliv Oil,"Material obtained after defeating/catching Smoliv, used in TM crafting."
Smooth Rock,A Pokémon held item that extends the duration of the move Sandstorm used by the holder.
Sneasel Claw,"Material obtained after defeating/catching Sneasel, used in TM crafting."
Snom Thread,"Material obtained after defeating/catching Snom, used in TM crafting."
Snorlium Z,"Allows Snorlax to upgrade Giga Impact to a Z-Move, Pulverizing Pancake."
Snorunt Fur,"Material obtained after defeating/catching Snorunt, used in TM crafting."
Snover Berries,"Material obtained after defeating/catching Snover, used in TM crafting."
Snowball,Raises Attack if hit by an Ice-type move.
Soda Pop,Restores 50 HP.
Soft Sand,Increases the power of Ground-type moves.
Solganium Z,"Allows Solgaleo to upgrade Sunsteel Strike to a Z-Move, Searing Sunraze Smash."
Sootfoot Root,
Soothe Bell,An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly.
Soul Dew,Increases the power of Psychic- and Dragon-type moves when held by Latios or Latias. Increases Sp.Atk/Sp.Def prior to Gen 7.
Soul Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Soul Room at Ramanas Park.
Sour Herba Mystica,This surpassingly sour condiment is said to be super effective in helping the eater recover from exhaustion. Only a scant few people know it exists.
Spell Tag,Increases the power of Ghost-type moves.
Spelon Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Spice Mix,One of the many ingredients that can be used for cooking at your camp. There are over fifty spices contained within this ingredient’s hot flavor.
Spicy Herba Mystica,The legendary condiment said to have the mightiest of all spicy flavors. It’s said that a single bite will kick the metabolism into high gear immediately.
Spiritomb Fragment,"Material obtained after defeating/catching Spiritomb, used in TM crafting."
Splash Plate,Increases power of Water-type moves. Changes Arceus' type to Water.
Spoiled Apricorn,
Spoink Pearl,"Material obtained after defeating/catching Spoink, used in TM crafting."
Spooky Plate,Increases power of Ghost-type moves. Changes Arceus' type to Ghost.
Spooky Tablecloth,A pop-art-style tablecloth with Pokémon faces floating up from the deep nighttime blue. This is a must-have for fans of Ghost types.
Sport Ball,A special Poké Ball for the Bug-Catching Contest.
Springy Mushroom,
Sprinklotad,"A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil."
Squall Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Squall Room at Ramanas Park.
Squawkabilly Feather,"Material obtained after defeating/catching Squawkabilly, used in TM crafting."
Stable Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Stantler Hair,"Material obtained after defeating/catching Stantler, used in TM crafting."
Star Piece,A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.
Star Sweet,Evolves Milcery into Star Flavor Alcremie.
Stardust,"Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops."
Starf Berry,Sharply raises a random stat when HP is low.
Starly Feather,"Material obtained after defeating/catching Starly, used in TM crafting."
Stealth Spray,
Steel Bottle (B),"A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold."
Steel Bottle (R),"A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold."
Steel Bottle (Y),"A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold."
Steel Gem,Increases the power of a Steel-type move only once.
Steel Memory,Changes Silvally and its move Multi-Attack to Steel type.
Steel Tera Shard,Changes a Pokémon's Tera Type to Steel.
Steelium Z,"Allows the use of Corkscrew Crash, the Steel type Z-Move."
Steelixite,Enables Steelix to Mega Evolve during battle.
Sticky Barb,A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder.
Sticky Glob,
Stone Plate,Increases power of Rock-type moves. Changes Arceus' type to Rock.
Stonjourner Stone,"Material obtained after defeating/catching Stonjourner, used in TM crafting."
Strange Ball,
Strange Souvenir,An ornament depicting a Pokémon that is venerated as a protector in some region far from Kalos.
Stratospheric Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Stratospheric Room at Ramanas Park.
Strawberry,"A very tart and sweet ingredient, popular for its ability to make a sandwich visually striking."
Strawberry Sweet,Evolves Milcery into Strawberry Flavor Alcremie.
Stretchy Spring,
Striped Bottle,"A striped bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with."
Striped Cup,"A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around."
Striped Tablecloth,"A tablecloth with a fashionable striped pattern. It’s great at repelling water and mold, and stains and smudges wipe right off."
Stunky Fur,"Material obtained after defeating/catching Stunky, used in TM crafting."
Sun Stone,Evolves certain species of Pokémon.
Sunkern Leaf,"Material obtained after defeating/catching Sunkern, used in TM crafting."
Sunrise Flower Pick,A flower pick designed to evoke a glorious sunrise. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.
Sunset Flower Pick,A flower pick designed to evoke a blazing sunset. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.
Super Lure,Attracts Pokémon in the wild.
Super Potion,Restores 60 HP.
Super Repel,An item that prevents weak wild Pokémon from appearing for 200 steps after its use.
Surskit Syrup,"Material obtained after defeating/catching Surskit, used in TM crafting."
Swablu Fluff,"Material obtained after defeating/catching Swablu, used in TM crafting."
Swampertite,Enables Swampert to Mega Evolve during battle.
Swap Snack,
Sweet Apple,Evolves Applin into Appletun.
Sweet Heart,Very sweet chocolate. It restores the HP of one Pokémon by only 20 points.
Sweet Herba Mystica,A legendary condiment told of only in books. Word has it that one taste of its sweet flavor stimulates the digestive system and cures a lack of appetite.
Swift Feather,Increases Speed EVs by 1.
Swift Mochi,Increases Speed EVs.
Swordcap,
Syrupy Apple,Evolves Applin into Dipplin.
Tadbulb Mucus,"Material obtained after defeating/catching Tadbulb, used in TM crafting."
Tamato Berry,Increases Friendship but lowers Speed EVs.
Tandemaus Fur,"Material obtained after defeating/catching Tandemaus, used in TM crafting."
Tanga Berry,Weakens a supereffective Bug-type attack against the holding Pokémon.
Tapunium Z,"Allows the Tapus to upgrade Nature's Madness to a Z-Move, Guardian of Alola."
Tarountula Thread,"Material obtained after defeating/catching Tarountula, used in TM crafting."
Tart Apple,Evolves Applin into Flapple.
Tatsugiri Scales,"Material obtained after defeating/catching Tatsugiri, used in TM crafting."
Tauros Hair,"Material obtained after defeating/catching Tauros, used in TM crafting."
Tectonic Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Tectonic Room at Ramanas Park.
Teddiursa Claw,"Material obtained after defeating/catching Teddiursa, used in TM crafting."
Tera Orb,"An orb that holds within it the power to crystallize. When it is charged with energy, it can be used to cause Pokémon to Terastallize."
Terrain Extender,An item to be held by a Pokémon. It extends the duration of the terrain caused by the holder's move or Ability.
Thick Club,Increases Attack when held by Cubone or Marowak.
Throat Spray,Raises Sp. Atk when a sound-based move is used.
Thunder Stone,Evolves certain species of Pokémon.
Timer Ball,Catches Pokémon with a higher rate the more turns have occurred (up to 4x).
Timid Mint,Changes the Pokémon's stats to match the Timid nature.
Tin of Beans,"One of the many ingredients that can be used for cooking at your camp. When simmered, the beans suffuse a dish with their mild flavor."
Tinkatink Hair,"Material obtained after defeating/catching Tinkatink, used in TM crafting."
Tiny Bamboo Shoot,A small and rare bamboo shoot. It’s quite popular with a certain class of gourmands.
Tiny Mushroom,A small and rare mushroom. It is sought after by collectors.
TM00,Teaches the move Mega Punch.
TM001,Teaches the move Mega Punch/Dynamic Punch/Focus Punch/Hone Claws/Work Up/Headbutt/Mega Kick/Take Down.
TM002,Teaches the move Razor Wind/Headbutt/Dragon Claw/Taunt/Pay Day/Charm.
TM003,Teaches the move Swords Dance/Curse/Water Pulse/Psyshock/Helping Hand/Fire Punch/Fake Tears.
TM004,Teaches the move Whirlwind/Rollout/Calm Mind/Teleport/Ice Punch/Agility.
TM005,Teaches the move Mega Kick/Roar/Rest/Thunder Punch/Mud-Slap.
TM006,Teaches the move Toxic/Light Screen/Fly/Scary Face.
TM007,Teaches the move Horn Drill/Zap Cannon/Hail/Protect/Pin Missile/Protect.
TM008,Teaches the move Body Slam/Rock Smash/Bulk Up/Substitute/Hyper Beam/Fire Fang.
TM009,Teaches the move Take Down/Psych Up/Bullet Seed/Venoshock/Reflect/Giga Impact/Thunder Fang.
TM010,Teaches the move Double-Edge/Hidden Power/Dig/Magical Leaf/Work Up/Ice Fang.
TM011,Teaches the move BubbleBeam/Sunny Day/Will-O-Wisp/Solar Beam/Water Pulse.
TM012,Teaches the move Water Gun/Sweet Scent/Taunt/Facade/Solar Blade/Low Kick.
TM013,Teaches the move Ice Beam/Snore/Brick Break/Fire Spin/Acid Spray.
TM014,Teaches the move Blizzard/Fly/Thunder Wave/Acrobatics.
TM015,Teaches the move Hyper Beam/Seismic Toss/Dig/Struggle Bug.
TM016,Teaches the move Pay Day/Icy Wind/Light Screen/Thunder Wave/Screech/Psybeam.
TM017,Teaches the move Submission/Protect/Dragon Tail/Light Screen/Confuse Ray.
TM018,Teaches the move Counter/Rain Dance/U-turn/Reflect/Thief.
TM019,Teaches the move Seismic Toss/Giga Drain/Telekinesis/Roost/Iron Tail/Safeguard/Disarming Voice.
TM020,Teaches the move Rage/Endure/Safeguard/Dark Pulse/Self-Destruct/Trailblaze.
TM021,Teaches the move Mega Drain/Frustration/Foul Play/Rest/Dazzling Gleam/Pounce.
TM022,Teaches the move SolarBeam/Rock Slide/Chilling Water.
TM023,Teaches the move Dragon Rage/Iron Tail/Smack Down/Thunder Punch/Thief/Charge Beam.
TM024,Teaches the move Thunderbolt/DragonBreath/X-Scissor/Snore/Fire Spin.
TM025,Teaches the move Thunder/Waterfall/Protect/Facade.
TM026,Teaches the move Earthquake/Poison Jab/Scary Face/Poison Tail.
TM027,Teaches the move Fissure/Return/Toxic/Icy Wind/Low Sweep/Aerial Ace.
TM028,Teaches the move Dig/Leech Life/Tri Attack/Giga Drain/Bulldoze.
TM029,Teaches the move Psychic/Scald/Charm/Hex.
TM030,Teaches the move Teleport/Shadow Ball/Bulk Up/Steel Wing/Snarl.
TM031,Teaches the move Mimic/Mud-Slap/Brick Break/Fire Punch/Attract/Metal Claw.
TM032,Teaches the move Double Team/Dazzling Gleam/Sandstorm/Swift.
TM033,Teaches the move Ice Punch/Reflect/Calm Mind/Rain Dance/Magical Leaf.
TM034,Teaches the move Bide/Swagger/Shock Wave/Sludge Wave/Dragon Pulse/Sunny Day/Icy Wind.
TM035,Teaches the move Metronome/Sleep Talk/Flamethrower/Ice Punch/Hail/Mud Shot.
TM036,Teaches the move Self-Destruct/Sludge Bomb/Thunderbolt/Whirlpool/Rock Tomb.
TM037,Teaches the move Egg Bomb/Sandstorm/Flamethrower/Beat Up/Draining Kiss.
TM038,Teaches the move Fire Blast/Thunder/Will-O-Wisp/Flame Charge.
TM039,Teaches the move Swift/Rock Tomb/Outrage/Facade/Low Sweep.
TM040,Teaches the move Skull Bash/Defense Curl/Aerial Ace/Psychic/Swift/Air Cutter.
TM041,Teaches the move Soft-Boiled/Thunder Punch/Torment/Earthquake/Helping Hand/Stored Power.
TM042,Teaches the move Dream Eater/Facade/Self-Destruct/Revenge/Night Shade.
TM043,Teaches the move Sky Attack/Detect/Secret Power/Flame Charge/Shadow Ball/Brick Break/Volt Switch/Fling.
TM044,Teaches the move Rest/Play Rough/Imprison/Dragon Tail.
TM045,Teaches the move Thunder Wave/Attract/Solar Beam/Dive/Venoshock.
TM046,Teaches the move Psywave/Thief/Fire Blast/Weather Ball/Avalanche.
TM047,Teaches the move Explosion/Steel Wing/Low Sweep/Surf/Fake Tears/Endure.
TM048,Teaches the move Rock Slide/Fire Punch/Skill Swap/Round/Hyper Beam/Rock Tomb/Volt Switch.
TM049,Teaches the move Tri Attack/Fury Cutter/Snatch/Echoed Voice/Superpower/Sand Tomb/Scald/Sunny Day.
TM050,Teaches the move Substitute/Nightmare/Overheat/Roost/Bullet Seed/Rain Dance.
TM051,Teaches the move Roost/Ally Switch/Steel Wing/Blizzard/Icicle Spear/Sandstorm.
TM052,Teaches the move Focus Blast/Sludge Bomb/Bounce/Snowscape.
TM053,Teaches the move Energy Ball/Mega Drain/Mud Shot/Smart Strike.
TM054,Teaches the move False Swipe/Flash Cannon/Rock Blast/Psyshock.
TM055,Teaches the move Brine/Scald/Ice Beam/Dig.
TM056,Teaches the move Fling/Stealth Rock/U-turn/Bullet Seed.
TM057,Teaches the move Charge Beam/Pay Day/Payback/False Swipe.
TM058,Teaches the move Endure/Sky Drop/Drill Run/Assurance/Brick Break.
TM059,Teaches the move Dragon Pulse/Incinerate/Brutal Swing/Dream Eater/Fling/Zen Headbutt.
TM060,Teaches the move Drain Punch/Quash/Megahorn/Power Swap/U-turn.
TM061,Teaches the move Will-O-Wisp/Guard Swap/Shadow Claw.
TM062,Teaches the move Silver Wind/Acrobatics/Speed Swap/Bug Buzz/Foul Play.
TM063,Teaches the move Embargo/Drain Punch/Nasty Plot/Psychic Fangs.
TM064,Teaches the move Explosion/Avalanche/Bulk Up.
TM065,Teaches the move Shadow Claw/Air Slash.
TM066,Teaches the move Payback/Thunder Fang/Body Slam.
TM067,Teaches the move Recycle/Retaliate/Smart Strike/Ice Fang/Fire Punch.
TM068,Teaches the move Giga Impact/Fire Fang/Thunder Punch.
TM069,Teaches the move Rock Polish/Psycho Cut/Ice Punch.
TM070,Teaches the move Flash/Aurora Veil/Trick Room/Sleep Talk.
TM071,Teaches the move Stone Edge/Wonder Room/Seed Bomb.
TM072,Teaches the move Avalanche/Volt Switch/Magic Room/Electro Ball.
TM073,Teaches the move Thunder Wave/Cross Poison/Drain Punch.
TM074,Teaches the move Gyro Ball/Venoshock/Reflect.
TM075,Teaches the move Swords Dance/Low Sweep/Light Screen.
TM076,Teaches the move Stealth Rock/Struggle Bug/Fly/Round/Rock Blast.
TM077,Teaches the move Psych Up/Hex/Waterfall.
TM078,Teaches the move Captivate/Bulldoze/Acrobatics/Snarl/Dragon Claw.
TM079,Teaches the move Dark Pulse/Frost Breath/Retaliate/Dazzling Gleam.
TM080,Teaches the move Rock Slide/Volt Switch/Metronome.
TM081,Teaches the move X-Scissor/Bulldoze/Grass Knot.
TM082,Teaches the move Sleep Talk/Dragon Tail/Electroweb/Thunder Wave.
TM083,Teaches the move Natural Gift/Work Up/Infestation/Razor Shell/Bulldoze/Poison Jab.
TM084,Teaches the move Poison Jab/Tail Slap/Stomping Tantrum.
TM085,Teaches the move Dream Eater/Snarl/Rest.
TM086,Teaches the move Grass Knot/Phantom Force/Rock Slide.
TM087,Teaches the move Swagger/Draining Kiss/Taunt.
TM088,Teaches the move Pluck/Sleep Talk/Grassy Terrain/Swords Dance.
TM089,Teaches the move U-turn/Misty Terrain/Body Press.
TM090,Teaches the move Substitute/Electric Terrain/Spikes.
TM091,Teaches the move Flash Cannon/Psychic Terrain/Toxic Spikes.
TM092,Teaches the move Trick Room/Mystical Fire/Imprison.
TM093,Teaches the move Wild Charge/Eerie Impulse/Cut/Flash Cannon.
TM094,Teaches the move Rock Smash/Surf/False Swipe/Fly/Dark Pulse.
TM095,Teaches the move Snarl/Air Slash/Surf/Leech Life.
TM096,Teaches the move Nature Power/Smart Strike/Strength/Eerie Impulse.
TM097,Teaches the move Dark Pulse/Brutal Swing/Defog/Fly.
TM098,Teaches the move Power-Up Punch/Waterfall/Stomping Tantrum/Rock Smash/Skill Swap.
TM099,Teaches the move Dazzling Gleam/Breaking Swipe/Waterfall/Iron Head.
TM100,Teaches the move Confide/Rock Climb/Dragon Dance.
TM101,Teaches the move Power Gem.
TM102,Teaches the move Gunk Shot.
TM103,Teaches the move Substitute.
TM104,Teaches the move Iron Defense.
TM105,Teaches the move X-Scissor.
TM106,Teaches the move Drill Run.
TM107,Teaches the move Will-O-Wisp.
TM108,Teaches the move Crunch.
TM109,Teaches the move Trick.
TM110,Teaches the move Liquidation.
TM111,Teaches the move Giga Drain.
TM112,Teaches the move Aura Sphere.
TM113,Teaches the move Tailwind.
TM114,Teaches the move Shadow Ball.
TM115,Teaches the move Dragon Pulse.
TM116,Teaches the move Stealth Rock.
TM117,Teaches the move Hyper Voice.
TM118,Teaches the move Heat Wave.
TM119,Teaches the move Energy Ball.
TM120,Teaches the move Psychic.
TM121,Teaches the move Heavy Slam.
TM122,Teaches the move Encore.
TM123,Teaches the move Surf.
TM124,Teaches the move Ice Spinner.
TM125,Teaches the move Flamethrower.
TM126,Teaches the move Thunderbolt.
TM127,Teaches the move Play Rough.
TM128,Teaches the move Amnesia.
TM129,Teaches the move Calm Mind.
TM130,Teaches the move Helping Hand.
TM131,Teaches the move Pollen Puff.
TM132,Teaches the move Baton Pass.
TM133,Teaches the move Earth Power.
TM134,Teaches the move Reversal.
TM135,Teaches the move Ice Beam.
TM136,Teaches the move Electric Terrain.
TM137,Teaches the move Grassy Terrain.
TM138,Teaches the move Psychic Terrain.
TM139,Teaches the move Misty Terrain.
TM140,Teaches the move Nasty Plot.
TM141,Teaches the move Fire Blast.
TM142,Teaches the move Hydro Pump.
TM143,Teaches the move Blizzard.
TM144,Teaches the move Fire Pledge.
TM145,Teaches the move Water Pledge.
TM146,Teaches the move Grass Pledge.
TM147,Teaches the move Wild Charge.
TM148,Teaches the move Sludge Bomb.
TM149,Teaches the move Earthquake.
TM150,Teaches the move Stone Edge.
TM151,Teaches the move Phantom Force.
TM152,Teaches the move Giga Impact.
TM153,Teaches the move Blast Burn.
TM154,Teaches the move Hydro Cannon.
TM155,Teaches the move Frenzy Plant.
TM156,Teaches the move Outrage.
TM157,Teaches the move Overheat.
TM158,Teaches the move Focus Blast.
TM159,Teaches the move Leaf Storm.
